Year,Units,Value
2015,процент,11.11967157433939
2016,процент,11.16389822799498
2017,процент,12.112952853842762
2018,процент,11.22101950099679
2015,процент,54.295882540573594
2016,процент,76.21929551947073
2017,процент,74.50296166094664
2018,процент,75.56498996477943
2015,процент,6.888445633889326
2016,процент,7.356262104416622
2017,процент,8.321089828760805
2018,процент,8.923636609948721
2015,процент,14.839824661575985
2016,процент,15.185376530324481
2017,процент,16.044963846032378
2018,процент,16.122862938278757
2015,процент,54.48722115471399
2016,процент,61.30339748953456
2017,процент,61.762563320111724
2018,процент,63.25860751824241
2015,процент,5.861056722488332
2016,процент,6.3048679390739855
2017,процент,5.951273270830902
2018,процент,7.900572250162162
